ICE Operation cost,EV Maintenance cost,Charging cost,Penalty cost,Deadheading cost,Route,Phase
9.0,0.0,0.0,0.0,0.0,Cluster_0_H,1
90.0,0.0,0.0,0.0,0.0,Cluster_0_M,1
0.0,3.0,0.22206,0.0,0.0,Cluster_0_L,1
0.0,1.0,0.07402,0.0,4.32,Cluster_1_M,1
30.0,0.0,0.0,0.0,0.0,Cluster_1_L,1
0.0,11.0,1.35203,0.0,0.0,Cluster_2_L,1
180.0,0.0,0.0,0.0,0.0,Cluster_3_M,1
280.0,0.0,0.0,0.0,0.0,Cluster_3_L,1
9.0,0.0,0.0,0.0,0.0,Cluster_0_H,2
90.0,0.0,0.0,0.0,0.0,Cluster_0_M,2
0.0,3.0,0.22206,0.0,0.0,Cluster_0_L,2
0.0,1.0,0.07402,0.0,3.99,Cluster_1_M,2
30.0,0.0,0.0,0.0,0.0,Cluster_1_L,2
0.0,11.0,1.2895699999999999,0.0,0.0,Cluster_2_L,2
180.0,0.0,0.0,0.0,0.0,Cluster_3_M,2
0.0,76.0,1.98698,0.0,0.0,Cluster_3_L,2
0.0,2.0,0.14804,0.0,0.0,Cluster_0_H,3
0.0,13.0,1.1808699999999999,0.0,0.0,Cluster_0_M,3
0.0,3.0,0.22206,0.0,0.0,Cluster_0_L,3
0.0,1.0,0.07402,0.0,0.0,Cluster_1_M,3
0.0,9.0,0.59216,0.0,0.0,Cluster_1_L,3
0.0,11.0,1.2895699999999999,0.0,0.0,Cluster_2_L,3
180.0,0.0,0.0,0.0,0.0,Cluster_3_M,3
0.0,76.0,1.98698,0.0,0.0,Cluster_3_L,3
