Category,Phase,Station,Route,Time,Charger Type,Value,Description
Opened Charging Station,1,Cluster_0,,,,,Station Cluster_0 is opened at Phase 1
Opened Charging Station,3,Cluster_1,,,,,Station Cluster_1 is opened at Phase 3
Opened Charging Station,1,Cluster_2,,,,,Station Cluster_2 is opened at Phase 1
Opened Charging Station,1,Cluster_3,,,,,Station Cluster_3 is opened at Phase 1
Electrified Route,3,,Cluster_0_H,,,,Route Cluster_0_H is electrified at Phase 3
Electrified Route,3,,Cluster_0_M,,,,Route Cluster_0_M is electrified at Phase 3
Electrified Route,1,,Cluster_0_L,,,,Route Cluster_0_L is electrified at Phase 1
Electrified Route,2,,Cluster_0_L,,,,Route Cluster_0_L is electrified at Phase 2
Electrified Route,3,,Cluster_0_L,,,,Route Cluster_0_L is electrified at Phase 3
Electrified Route,1,,Cluster_1_M,,,,Route Cluster_1_M is electrified at Phase 1
Electrified Route,2,,Cluster_1_M,,,,Route Cluster_1_M is electrified at Phase 2
Electrified Route,3,,Cluster_1_M,,,,Route Cluster_1_M is electrified at Phase 3
Electrified Route,3,,Cluster_1_L,,,,Route Cluster_1_L is electrified at Phase 3
Electrified Route,1,,Cluster_2_L,,,,Route Cluster_2_L is electrified at Phase 1
Electrified Route,2,,Cluster_2_L,,,,Route Cluster_2_L is electrified at Phase 2
Electrified Route,3,,Cluster_2_L,,,,Route Cluster_2_L is electrified at Phase 3
Electrified Route,2,,Cluster_3_L,,,,Route Cluster_3_L is electrified at Phase 2
Electrified Route,3,,Cluster_3_L,,,,Route Cluster_3_L is electrified at Phase 3
Fleet Size,1,,Cluster_0_L,,,3,"Phase 1, Route Cluster_0_L: 3 vehicles"
Fleet Size,1,,Cluster_1_M,,,1,"Phase 1, Route Cluster_1_M: 1 vehicles"
Fleet Size,1,,Cluster_2_L,,,12,"Phase 1, Route Cluster_2_L: 12 vehicles"
Fleet Size,2,,Cluster_0_L,,,3,"Phase 2, Route Cluster_0_L: 3 vehicles"
Fleet Size,2,,Cluster_1_M,,,1,"Phase 2, Route Cluster_1_M: 1 vehicles"
Fleet Size,2,,Cluster_2_L,,,14,"Phase 2, Route Cluster_2_L: 14 vehicles"
Fleet Size,2,,Cluster_3_L,,,48,"Phase 2, Route Cluster_3_L: 48 vehicles"
Fleet Size,3,,Cluster_0_H,,,2,"Phase 3, Route Cluster_0_H: 2 vehicles"
Fleet Size,3,,Cluster_0_M,,,16,"Phase 3, Route Cluster_0_M: 16 vehicles"
Fleet Size,3,,Cluster_0_L,,,3,"Phase 3, Route Cluster_0_L: 3 vehicles"
Fleet Size,3,,Cluster_1_M,,,1,"Phase 3, Route Cluster_1_M: 1 vehicles"
Fleet Size,3,,Cluster_1_L,,,9,"Phase 3, Route Cluster_1_L: 9 vehicles"
Fleet Size,3,,Cluster_2_L,,,14,"Phase 3, Route Cluster_2_L: 14 vehicles"
Fleet Size,3,,Cluster_3_L,,,48,"Phase 3, Route Cluster_3_L: 48 vehicles"
Route-to-Station Assignment,1,Cluster_0,Cluster_0_L,,,,Route Cluster_0_L assigned to Station Cluster_0 at Phase 1
Route-to-Station Assignment,1,Cluster_2,Cluster_2_L,,,,Route Cluster_2_L assigned to Station Cluster_2 at Phase 1
Route-to-Station Assignment,1,Cluster_3,Cluster_1_M,,,,Route Cluster_1_M assigned to Station Cluster_3 at Phase 1
Route-to-Station Assignment,2,Cluster_0,Cluster_0_L,,,,Route Cluster_0_L assigned to Station Cluster_0 at Phase 2
Route-to-Station Assignment,2,Cluster_2,Cluster_1_M,,,,Route Cluster_1_M assigned to Station Cluster_2 at Phase 2
Route-to-Station Assignment,2,Cluster_2,Cluster_2_L,,,,Route Cluster_2_L assigned to Station Cluster_2 at Phase 2
Route-to-Station Assignment,2,Cluster_3,Cluster_3_L,,,,Route Cluster_3_L assigned to Station Cluster_3 at Phase 2
Route-to-Station Assignment,3,Cluster_0,Cluster_0_H,,,,Route Cluster_0_H assigned to Station Cluster_0 at Phase 3
Route-to-Station Assignment,3,Cluster_0,Cluster_0_M,,,,Route Cluster_0_M assigned to Station Cluster_0 at Phase 3
